0.1386	0.222
0.1584	0.223
0.1782	0.224
0.1980	0.226
0.2178	0.229
0.2376	0.232
0.2574	0.235
0.2773	0.239
0.2971	0.244
0.3169	0.246
0.3367	0.254
0.3566	0.260
0.3764	0.266
0.3963	0.273
0.4161	0.280
0.4359	0.288
0.4558	0.297
0.4756	0.306
0.4955	0.315
0.5154	0.326
0.5352	0.336
0.5551	0.347
0.5750	0.359
0.5948	0.371
0.6147	0.384
0.6346	0.398
0.6545	0.411
0.6743	0.425
0.6942	0.440
0.7141	0.456
0.7340	0.472
0.7539	0.488
0.7738	0.506
0.7937	0.523
0.8136	0.541
0.8335	0.560
0.8534	0.579
0.8733	0.599
0.8933	0.619
0.9132	0.640
0.9331	0.661
0.9530	0.683
0.9730	0.706
0.9929	0.729
1.0128	0.753
1.0328	0.777
1.0527	0.801
1.0727	0.827
1.0926	0.853
1.1126	0.879
1.1325	0.905
1.1525	0.933
1.1725	0.960
1.1924	0.989
1.2124	1.018
1.2323	1.044
1.2523	1.066
1.2721	1.073
