0.2970	0.220
0.3169	0.222
0.3367	0.223
0.3565	0.225
0.3763	0.227
0.3961	0.230
0.4159	0.232
0.4358	0.238
0.4556	0.240
0.4754	0.244
0.4952	0.250
0.5151	0.256
0.5349	0.263
0.5547	0.270
0.5746	0.278
0.5944	0.286
0.6143	0.298
0.6341	0.307
0.6540	0.316
0.6739	0.327
0.6937	0.338
0.7136	0.350
0.7335	0.362
0.7533	0.374
0.7732	0.387
0.7931	0.400
0.8130	0.414
0.8329	0.428
0.8527	0.443
0.8726	0.459
0.8925	0.475
0.9124	0.492
0.9323	0.509
0.9522	0.527
0.9721	0.545
0.9920	0.564
1.0120	0.583
1.0319	0.603
1.0518	0.624
1.0717	0.645
1.0916	0.666
1.1116	0.689
1.1315	0.711
1.1514	0.734
1.1714	0.758
1.1913	0.782
1.2113	0.807
1.2312	0.832
1.2512	0.858
1.2711	0.885
1.2911	0.911
1.3110	0.938
1.3310	0.966
1.3510	0.995
1.3709	1.024
1.3909	1.054
1.4109	1.084
1.4308	1.109
1.4507	1.120
1.4705	1.123
1.4903	1.132
1.5102	1.137
1.5300	1.140
1.5498	1.141
1.5696	1.144
1.5894	1.148
1.6093	1.152
1.6291	1.155
1.6489	1.157
1.6687	1.158
