0.0198	0.219
0.0397	0.221
0.0595	0.222
0.0793	0.223
0.0991	0.224
0.1189	0.225
0.1387	0.224
0.1585	0.228
0.1783	0.230
0.1981	0.231
0.2179	0.234
0.2378	0.238
0.2576	0.243
0.2774	0.248
0.2972	0.254
0.3171	0.260
0.3369	0.266
0.3568	0.273
0.3766	0.281
0.3964	0.289
0.4163	0.300
0.4362	0.309
0.4560	0.319
0.4759	0.329
0.4957	0.340
0.5156	0.351
0.5355	0.363
0.5553	0.375
0.5752	0.388
0.5951	0.401
0.6150	0.415
0.6349	0.429
0.6548	0.445
0.6746	0.460
0.6945	0.477
0.7144	0.493
0.7343	0.510
0.7542	0.528
0.7741	0.546
0.7941	0.565
0.8140	0.585
0.8339	0.605
0.8538	0.625
0.8737	0.646
0.8936	0.668
0.9136	0.690
0.9335	0.712
0.9534	0.736
0.9734	0.759
0.9933	0.784
1.0133	0.808
1.0332	0.834
1.0532	0.860
1.0731	0.886
1.0931	0.913
1.1130	0.940
1.1330	0.969
1.1530	0.997
1.1729	1.026
1.1929	1.056
1.2129	1.086
1.2329	1.117
1.2528	1.147
1.2727	1.166
1.2926	1.168
