0.3564	0.221
0.3762	0.222
0.3960	0.223
0.4158	0.225
0.4356	0.227
0.4554	0.230
0.4752	0.231
0.4950	0.235
0.5149	0.238
0.5347	0.245
0.5545	0.251
0.5744	0.256
0.5942	0.262
0.6140	0.268
0.6339	0.275
0.6537	0.282
0.6736	0.290
0.6934	0.298
0.7133	0.307
0.7331	0.317
0.7530	0.327
0.7728	0.337
0.7927	0.348
0.8126	0.360
0.8324	0.372
0.8523	0.385
0.8722	0.398
0.8921	0.411
0.9119	0.425
0.9318	0.439
0.9517	0.455
0.9716	0.471
0.9915	0.487
1.0114	0.504
1.0313	0.521
1.0512	0.539
1.0711	0.557
1.0910	0.576
1.1109	0.596
1.1308	0.616
1.1508	0.636
1.1707	0.657
1.1906	0.679
1.2105	0.701
1.2305	0.724
1.2504	0.748
1.2704	0.771
1.2903	0.796
1.3102	0.821
1.3302	0.846
1.3501	0.872
1.3701	0.899
1.3901	0.926
1.4100	0.953
1.4300	0.981
1.4499	1.010
1.4699	1.039
1.4899	1.069
1.5098	1.098
1.5297	1.114
1.5496	1.127
1.5694	1.129
1.5892	1.126
1.6090	1.125
1.6288	1.124
1.6486	1.117
1.6684	1.116
